filename,x_label,y_value
cropped_page_16.png,2015.07,247.73k
cropped_page_16.png,2015.10,247.73k
cropped_page_16.png,2016.01,247.73k
cropped_page_16.png,2016.04,247.73k
cropped_page_16.png,2016.07,247.73k
cropped_page_16.png,2016.10,247.73k
cropped_page_16.png,2017.01,247.73k
cropped_page_16.png,2017.04,247.73k
cropped_page_16.png,2017.07,247.73k
cropped_page_16.png,2017.10,247.73k
cropped_page_16.png,2018.01,247.73k
cropped_page_16.png,2018.04,247.73k
cropped_page_16.png,2018.07,247.73k
cropped_page_16.png,2018.10,247.73k
cropped_page_16.png,2019.01,247.73k
cropped_page_16.png,2019.04,247.73k
cropped_page_16.png,2019.07,247.73k
cropped_page_16.png,2019.10,247.73k
cropped_page_16.png,2020.01,247.73k
cropped_page_16.png,2020.04,247.73k
cropped_page_16.png,2020.07,247.73k
cropped_page_16.png,2020.10,247.73k
cropped_page_16.png,2021.01,247.73k
cropped_page_16.png,2021.04,247.73k
cropped_page_16.png,2021.07,247.73k
cropped_page_16.png,2021.10,247.73k
cropped_page_16.png,2022.01,247.73k
cropped_page_16.png,2022.04,247.73k
cropped_page_16.png,2022.07,247.73k
cropped_page_16.png,2022.10,247.73k
cropped_page_16.png,2023.01,247.73k
cropped_page_16.png,2023.04,247.73k
cropped_page_16.png,2023.07,247.73k
cropped_page_16.png,2023.10,247.73k
cropped_page_16.png,2024.01,247.73k
cropped_page_16.png,2024.04,247.73k
cropped_page_16.png,2024.07,247.73k
cropped_page_16.png,2024.10,247.73k
cropped_page_16.png,2025.01,247.73k
cropped_page_16.png,2025.04,247.73k
cropped_page_16.png,2025.07,247.73k
cropped_page_16.png,2025.10,247.73k
cropped_page_17.png,2018.04,187k
cropped_page_17.png,2018.07,187k
cropped_page_17.png,2018.10,187k
cropped_page_17.png,2019.01,187k
cropped_page_17.png,2019.04,187k
cropped_page_17.png,2019.07,187k
cropped_page_17.png,2019.10,187k
cropped_page_17.png,2020.01,187k
cropped_page_17.png,2020.04,187k
cropped_page_17.png,2020.07,187k
cropped_page_17.png,2020.10,187k
cropped_page_17.png,2021.01,187k
cropped_page_17.png,2021.04,187k
cropped_page_17.png,2021.07,187k
cropped_page_17.png,2021.10,187k
cropped_page_17.png,2022.01,187k
cropped_page_17.png,2022.04,187k
cropped_page_17.png,2022.07,187k
cropped_page_17.png,2022.10,187k
cropped_page_17.png,2023.01,187k
cropped_page_17.png,2023.04,187k
cropped_page_17.png,2023.07,187k
cropped_page_17.png,2023.10,187k
cropped_page_17.png,2024.01,187k
cropped_page_17.png,2024.04,187k
cropped_page_17.png,2024.07,187k
cropped_page_17.png,2024.10,187k
cropped_page_17.png,2025.01,187k
cropped_page_17.png,2025.04,187k
cropped_page_17.png,2025.07,187k
cropped_page_17.png,2025.10,187k
cropped_page_18.png,2023.04,172.84k
cropped_page_18.png,2023.05,172.84k
cropped_page_18.png,2023.06,172.84k
cropped_page_18.png,2023.07,172.84k
cropped_page_18.png,2023.08,172.84k
cropped_page_18.png,2023.09,172.84k
cropped_page_18.png,2023.10,172.84k
cropped_page_18.png,2023.11,172.84k
cropped_page_18.png,2023.12,172.84k
cropped_page_18.png,2024.01,172.84k
cropped_page_18.png,2024.02,172.84k
cropped_page_18.png,2024.03,172.84k
cropped_page_18.png,2024.04,172.84k
cropped_page_18.png,2024.05,172.84k
cropped_page_18.png,2024.06,172.84k
cropped_page_18.png,2024.07,172.84k
cropped_page_18.png,2024.08,172.84k
cropped_page_18.png,2024.09,172.84k
cropped_page_18.png,2024.10,172.84k
cropped_page_18.png,2024.11,172.84k
cropped_page_18.png,2024.12,172.84k
cropped_page_19.png,2008.01,167.4k
cropped_page_19.png,2008.04,167.4k
cropped_page_19.png,2008.07,167.4k
cropped_page_19.png,2008.10,167.4k
cropped_page_19.png,2009.01,167.4k
cropped_page_19.png,2009.04,167.4k
cropped_page_19.png,2009.07,167.4k
cropped_page_19.png,2009.10,167.4k
cropped_page_19.png,2010.01,167.4k
cropped_page_19.png,2010.04,167.4k
cropped_page_19.png,2010.07,167.4k
cropped_page_19.png,2010.10,167.4k
cropped_page_19.png,2011.01,167.4k
